"country","sftgcode","year","nvc.start.1","wdi.pop","xxxcimr","wdi.gdpchg.s","wdi.cpi","bnn.yroff","elceleth.c","dispota4.c","cir.physint","wdi.popurb.mi","wdi.manuf.mi","wdi.servs.mi","wdi.sch2.mi","wdi.mobp100","ios.gattwto","ythbul4","bnk.unrest","bnk.strikes","nvc.dosregt","nvc.ongoing","civilwar","age","postcoldwar","ios.iccpr1","nld.any.1","pitfdem","fiw.cl","pol.durable","cou.tries5","ik1","ik2","ik3","ik4","ik5","ik6","ik7","ik8","ik9","ik10"
"Afghanistan","AFG",2005,0,24860855,5.1377245509,3.34294334638481,71.1409742918197,4,0,0,4,22.895,16.9375286354148,40.8887918412859,19.44068,4.8268653672611,0,0.1944595329,4,0,1,0,1,86,1,0,0,0,5,0,1,2,2,2,5,3,4,5,5,1,1
"Afghanistan","AFG",2006,0,25631282,5.4212851406,2.3567217999868,76.3021776776999,5,0,0,4,23.237,16.7367610016724,41.9347976725594,29.14918,9.83316402199469,0,0.1955596214,1,0,1,0,1,87,1,0,0,0,5,0,1,5,4,2,3,5,3,5,1,5,5
"Afghanistan","AFG",2007,0,26349243,5.4014242116,3.70677824634435,82.7748069188245,6,0,0,4,23.587,18.0526207495454,42.032443082232,28.99123,17.7162433091531,0,0.1967679956,1,0,2,0,1,88,1,0,0,0,5,0,0,1,4,3,1,4,3,2,4,1,1
"Afghanistan","AFG",2008,0,27032197,5.3867106892,1.90036007374024,108.066600010077,7,0,0,3,23.946,18.1992073709958,47.1463266629165,38.37213,29.2203737639231,0,0.1981903485,1,0,0,0,1,89,1,0,1,0,6,0,0,3,1,3,2,4,1,3,3,3,4
"Afghanistan","AFG",2009,0,27708187,5.4775928297,4.58482810138369,99.1153588128686,8,0,0,4,24.313,13.557493090985,47.2185139768474,44.23704,37.8949369729604,0,0.199980378,1,0,1,0,1,90,1,0,1,0,6,0,0,1,5,1,5,5,5,3,4,2,1
"Afghanistan","AFG",2010,0,28397812,5.5688437776,2.90401282418721,100,9,0,0,3,24.689,12.9432846169444,51.0461192700356,50.1815,45.7781747410681,0,0.2020247039,0,0,2,0,1,91,1,0,0,0,6,0,0,3,2,1,1,3,3,1,5,3,2
"Afghanistan","AFG",2011,0,29105480,5.6185941043,2.47258673896172,110.201660141582,10,0,0,4,25.074,14.2224325494254,52.020807995074,51.77018,60.326319991974,0,0.243786063,1,0,0,0,1,92,1,0,0,0,6,0,0,2,2,5,5,1,2,2,1,3,1
"Albania","ALB",1991,0,3266790,1.1415370746,-5.43957697559341,5.11561640084525,6,0,0,4,36.7,17.2425385136019,18.0077993544255,81.49052,0,0,0.1892466586,11,3,0,1,0,79,1,0,1,1,4,0,0,3,5,5,3,3,1,2,3,1,1
"Albania","ALB",1992,0,3247039,1.2873730044,-2.68328157299978,16.67718679729,0,0,1,6,37.249,11.2792217856625,25.0375709039962,69.81645,0,0,0.1839608203,1,0,0,0,0,80,1,0,0,1,3,0,0,5,5,5,4,1,5,5,3,5,3
"Albania","ALB",1993,0,3227287,1.33218842,3.09838667696598,30.8535879479423,1,0,1,6,37.799,14.479793811052,22.457316667073,63.43,0,0,0.1798449612,2,0,0,0,0,81,1,0,0,1,4,1,0,1,5,3,1,5,4,1,4,5,2
"Albania","ALB",1994,0,3207536,1.5093867334,2.88097205817759,37.8157163261906,2,0,1,7,38.354,12.4684070680609,24.6483353573788,62.40033,0,0,0.1767851526,0,0,0,0,0,82,1,0,0,1,4,2,0,1,4,3,4,2,2,4,3,4,2
"Albania","ALB",1995,0,3187784,1.308798756,3.64691650576208,40.76277774116,3,0,1,4,38.911,11.0284323924007,21.689913631981,63.02645,0,0,0.1735116205,0,0,0,0,0,83,1,0,1,1,4,3,0,4,3,5,4,5,5,5,5,4,3
"Albania","ALB",1996,0,3168033,1.150378939,3.01662062579966,45.9500359768252,4,0,1,4,39.473,10.0834655563466,46.8091194686606,63.19075,0.0688407781641841,0,0.1696113074,1,0,1,0,0,84,1,0,1,0,4,0,0,4,5,4,1,5,3,3,3,2,5
"Albania","ALB",1997,0,3148281,1.1007774259,-3.19374388453426,61.1963839895288,0,0,0,4,40.035,8.76642713999737,47.6950107234703,64.14553,0.0990599213464225,0,0.1668822768,20,0,0,0,1,85,1,0,0,1,4,0,0,1,5,4,5,3,4,4,1,2,3
"Albania","ALB",1998,0,3128530,0.8335572474,3.56370593624109,73.8290671682311,1,0,0,5,40.601,6.96469482851972,51.3694929093509,65.89133,0.168397958054474,0,0.1653134134,3,0,0,0,0,86,1,0,0,1,5,1,1,2,2,3,4,4,4,3,3,5,2
"Albania","ALB",1999,0,3108778,0.693689544,3.17804971641414,74.1165853550575,2,0,0,5,41.169,6.71243731019159,53.7144500177217,66.4433,0.331772023673718,0,0.165961601,0,0,1,0,0,87,1,0,0,1,5,2,1,3,3,5,1,5,3,4,3,4,5
"Albania","ALB",2000,0,3089027,0.7018305926,2.70185121722127,74.153657089776,3,0,0,3,41.741,7.07730247654842,51.8601896029407,66.67894,0.901406013044683,1,0.16796875,0,0,1,0,0,88,1,0,1,1,5,3,1,3,3,5,2,4,3,5,2,5,4
"Albania","ALB",2001,0,3064111,0.7798105194,2.64575131106457,76.458047439507,4,0,0,6,42.435,6.5884882968625,53.2566836562957,69.04971,11.9488728833469,1,0.1725706857,0,0,0,0,0,89,1,0,0,1,4,4,1,1,2,5,2,2,5,5,4,3,3
"Albania","ALB",2002,0,3051427,0.636672326,1.70293863659265,82.3992397682071,0,0,0,6,43.501,6.33955505337441,55.171354785754,71.49872,26.0755314076865,1,0.1776699029,0,0,0,0,0,90,1,0,0,1,3,5,1,2,2,3,2,5,1,5,3,4,2
"Albania","ALB",2003,0,3033659,0.6060820368,2.38746727726266,82.7980542408038,1,0,0,5,44.573,8.46028944525269,54.9178815856399,75.26388,33.9570628375448,1,0.1828130029,0,0,1,0,0,91,1,0,0,1,3,6,0,4,3,4,5,5,2,4,1,4,1
"Albania","ALB",2004,0,3014579,0.5466472303,2.42899156029824,84.6858657493686,2,0,0,6,45.651,9.26206887477129,55.3000020347258,75.6674,39.1639566854891,1,0.18752,0,0,0,0,0,92,1,0,1,1,3,7,0,3,4,4,5,1,1,3,2,1,5
"Albania","ALB",2005,0,2992724,0.5516467066,2.34520787991168,86.6900261681513,3,0,0,7,46.731,10.1099177802217,55.7,79.22522,47.8780274894951,1,0.1906429026,0,0,0,0,0,93,1,0,0,1,3,8,0,5,1,5,2,3,3,2,2,4,2
"Albania","ALB",2006,0,2968028,0.5534136546,2.23606797749981,88.7452111683053,4,0,0,6,47.815,10.8009036159129,57.7012006860041,80.58608,60.0673423758473,1,0.1935381691,0,0,1,0,0,94,1,0,0,1,3,9,0,3,5,3,5,2,1,2,3,3,4
"Albania","ALB",2007,0,2940880,0.4976602238,2.42899156029822,91.3478264295177,0,0,0,7,48.902,8.83585364226962,60.3731136185008,82.2449,73.3503841486794,1,0.1943217666,0,0,2,0,0,95,1,1,0,1,3,10,0,4,1,3,1,2,1,4,5,3,5
"Albania","ALB",2008,0,2912559,0.5414775072,2.77488738510233,94.4164213626452,1,0,0,7,49.991,8.9348995348345,62.05005136816,82.39508,58.9123514861522,1,0.1933354291,0,0,0,0,0,96,1,1,1,1,3,11,0,5,3,1,1,5,4,1,5,3,1
"Albania","ALB",2009,0,2884303,0.6009389671,1.81659021245849,96.5695899495834,2,0,0,7,51.076,9.55807200052161,69.0352492680834,104.251384139835,78.1845877027214,1,0.1904165362,1,0,2,0,0,97,1,1,0,1,3,12,0,5,5,1,2,5,1,5,4,4,3
"Albania","ALB",2010,0,2856673,0.6668137688,1.87082869338685,100,3,0,0,7,52.163,11.2379208039691,65.0152640412475,99.8775431480339,85.4682469970411,1,0.1872659176,0,0,1,0,0,98,1,1,0,1,3,13,0,2,4,3,2,3,1,5,1,4,5
"Albania","ALB",2011,0,2829337,0.662585034,1.73205080756911,103.45034715268,4,0,0,6,53.247,9.90962001986998,64.7869941941477,92.4131869191526,98.2915345940227,1,0.1831990081,3,0,0,0,0,99,1,1,0,1,3,14,0,5,5,4,5,2,2,5,3,1,2
"Algeria","ALG",1982,0,20766568,1.1224573156,2.52982294843934,7.5198505457604,3,1,1,8,45.303,11.1516422079178,35.4872353352095,35.36934,0,0,0.1973029459,0,0,0,0,0,20,0,0,0,0,6,20,0,1,3,3,5,4,4,1,1,4,5
"Algeria","ALG",1983,0,21453278,1.1065204455,2.32379065700833,7.96857235514153,4,1,1,7,46.189,11.8058799522991,36.4442354543643,38.61331,0,0,0.1992486635,0,0,0,0,0,21,0,0,1,0,6,21,0,1,4,4,2,4,4,3,3,4,4
"Algeria","ALG",1984,0,22150483,1.0794626394,2.36643117553414,8.61533339883056,5,1,1,5,47.079,13.8271604646934,36.6666671161591,41.9016,0,0,0.2009518033,0,0,0,0,0,22,0,0,0,0,6,22,0,1,3,2,4,2,4,5,5,5,4
"Algeria","ALG",1985,0,22847437,1.0399065253,1.9235376971343,9.51841737553207,6,1,1,7,47.968,13.6991418673406,37.4393428101637,45.00029,0,0,0.2022354964,0,0,0,0,0,23,0,0,0,0,6,23,0,4,5,5,5,5,3,2,2,5,4
"Algeria","ALG",1986,0,23539383,1.0290322581,0.632456313420102,10.6959987719387,7,1,1,6,48.86,15.7085321165699,41.7063363245882,49.2178,0,0,0.2025138437,0,0,0,0,0,24,0,0,1,0,6,24,0,2,3,1,4,2,4,5,4,5,4
"Algeria","ALG",1987,0,24225748,0.9900234742,-0.836658536755426,11.4919159477963,8,1,1,5,49.722,14.8841956454944,40.7016336343428,51.66789,0,0,0.202752372,0,0,1,0,0,25,0,0,1,0,6,25,0,5,5,3,3,4,2,2,1,1,2
"Algeria","ALG",1988,0,24904931,0.9544721998,-1.00000275829025,12.1712657262449,9,1,1,4,50.511,14.8889583015168,42.539878665132,52.68595,0,0,0.2030788434,3,0,0,0,0,26,0,0,0,0,6,26,0,1,2,4,5,2,5,3,2,3,4
"Algeria","ALG",1989,0,25576596,0.9476725522,2.09761821223933,13.3037242591384,10,1,1,5,51.298,12.3203289954421,41.4271053272561,59.2567,0,0,0.2033808983,1,0,0,0,0,27,0,1,0,0,4,0,0,2,5,2,4,3,1,1,2,2,2
"Algeria","ALG",1990,0,26239708,0.9877777778,0.894427536939854,15.5191315163484,11,1,1,5,52.085,11.3779524257673,40.4724397259099,58.73647,0.00179117846890674,0,0.2039211036,0,0,0,0,0,28,0,1,1,0,4,1,0,4,3,4,4,4,4,3,3,3,5
"Algeria","ALG",1991,0,26893663,0.9580797836,-1.09544539522739,19.5364739495988,12,1,1,4,52.871,11.4460973662089,36.6744961460178,57.23974,0.0177774221384421,0,0.2049670279,5,2,0,0,1,29,1,1,0,0,4,2,0,3,2,3,1,4,4,1,4,3,2
"Algeria","ALG",1992,0,27535151,1.0060474117,1.34164164911723,25.723609198907,0,1,1,2,53.657,12.312777136852,38.1572131501999,56.9668,0.0173632605101748,0,0.2058889977,6,0,0,0,1,30,1,1,0,0,6,0,0,4,3,2,1,1,5,5,1,2,4
"Algeria","ALG",1993,0,28157560,1.0512757605,-1.44913793524392,31.0073224191184,1,1,1,2,54.439,13.1344937583882,39.2645405265425,57.02432,0.016979454185661,0,0.2070666176,1,0,0,0,1,31,1,1,0,0,6,1,0,2,2,2,3,5,2,3,2,1,4
"Algeria","ALG",1994,0,28752749,1.0225281602,-0.94868148660369,40.0142228066086,0,1,1,2,55.219,12.3593860238949,40.9788187071245,57.85013,0.0046882473741902,0,0.2087492343,0,0,0,0,1,32,1,1,1,0,7,2,0,5,1,4,5,3,5,5,3,5,3
"Algeria","ALG",1995,0,29315463,1.0211221977,1.94935753762953,51.9303088998925,1,1,1,0,55.997,11.4978729314917,39.1016082119625,57.45376,0.0160017940020255,0,0.2111550968,2,0,0,0,1,33,1,1,0,0,6,0,0,3,5,4,2,4,3,1,1,1,1
"Algeria","ALG",1996,0,29845208,1.0317776891,2.02484529708563,61.6304106937266,2,1,1,3,56.774,9.03892536840786,37.0028366269644,57.26973,0.0392022732761655,0,0.2137770521,0,0,0,0,1,34,1,1,1,0,6,1,0,5,2,3,3,3,4,5,5,3,1
"Algeria","ALG",1997,0,30345466,1.2067376908,1.04880881347332,65.1640043139712,3,1,1,0,57.544,8.72045298215291,38.2105874012338,57.27395,0.0573397027417539,0,0.2171801799,0,0,0,0,1,35,1,1,0,0,6,2,0,4,1,3,5,1,2,5,4,1,1
"Algeria","ALG",1998,0,30820435,1.1380803105,2.25831875665041,68.3897278572612,4,1,1,4,58.313,9.9093188120158,41.3196980351996,76.8309575293499,0.0584028096942824,0,0.2209004516,0,0,0,0,1,36,1,1,1,0,5,3,0,4,3,4,2,3,5,5,2,5,3
"Algeria","ALG",1999,0,31276295,1.2559496392,1.78885481084962,70.1989857221881,0,1,1,0,59.118,9.17200895883189,39.7985160912099,62.55411,0.230206295214954,0,0.2240938237,0,0,2,0,1,37,1,1,0,0,5,4,0,1,5,3,5,5,2,1,2,3,5
"Algeria","ALG",2000,0,31719449,1.195470059,1.48323993458218,70.4370748408595,1,1,1,4,59.919,7.45633174560056,32.5133990166994,61.92001,0.27112702998088,0,0.226436104,0,0,1,0,1,38,1,1,0,0,5,5,0,1,5,2,5,1,1,5,3,4,1
"Algeria","ALG",2001,0,32150198,1.305782424,2.14767868679016,73.4137374166914,2,1,1,4,60.712,12.4466666283202,37.4049368538213,65.4966,0.311040075087562,0,0.2284875089,4,0,0,0,1,39,1,1,1,0,5,6,0,4,1,3,1,5,4,3,4,5,5
"Algeria","ALG",2002,0,32572977,1.2146010187,2.36643191323981,74.4549658665492,3,1,0,2,61.501,19.4793545695226,38.1659011035587,68.7787,1.38226235815044,0,0.2293111125,2,0,0,0,1,40,1,1,0,0,5,7,0,2,5,2,4,2,3,4,3,5,2
"Algeria","ALG",2003,0,33003442,1.254950495,2.68328157299972,77.6334140791309,4,1,0,1,62.284,13.8090790401073,36.2261778279633,71.19437,4.3841699905119,0,0.2290289224,0,0,0,0,1,41,1,1,1,0,5,8,0,2,4,4,4,3,2,2,2,2,2
"Algeria","ALG",2004,0,33461345,1.1916909621,2.07364413533276,80.7090949130148,5,1,0,5,63.061,13.8651582969551,35.2312326636706,74.84863,14.5912066595052,0,0.228021978,0,0,0,0,1,42,1,1,0,0,5,0,0,4,3,1,4,4,5,4,4,2,2
"Algeria","ALG",2005,0,33960903,1.2320359281,2.42899156029826,81.8248550245908,6,1,0,5,63.83,11.6169905909702,32.2550314590399,76.74296,40.226713052948,0,0.2264047677,0,0,1,0,0,43,1,1,0,0,5,1,0,1,3,1,5,4,3,3,2,1,1
"Algeria","ALG",2006,0,34507214,1.1646586345,1.30384048104046,83.7187110034501,7,1,0,1,64.593,8.69581198811329,31.7898517893249,78.13794,60.8509107689772,0,0.2234367513,0,0,1,0,0,44,1,1,1,0,5,2,0,4,5,1,4,2,1,3,2,4,2
"Algeria","ALG",2007,0,35097043,1.1300101729,1.84390889145859,86.7943918373339,8,1,0,4,65.348,15.1646862039438,33.7399076726602,68.85041,78.532886659426,0,0.2200725514,0,0,2,0,0,45,1,1,0,0,5,3,0,4,2,3,3,2,4,3,3,2,3
"Algeria","ALG",2008,0,35725377,1.1027651671,1.41421356237315,91.0151948909932,9,1,0,5,66.097,9.11298470743927,33.8617782274238,75.40405,75.6646234971852,0,0.2161612641,0,0,1,0,0,46,1,1,1,0,5,4,0,4,5,4,2,5,3,5,1,5,4
"Algeria","ALG",2009,0,36383302,1.1075544174,1.26490302323776,96.234309623431,10,1,0,6,66.822,25.5135337733903,41.5898881379095,91.61072,89.9583660658398,0,0.2113876967,0,0,1,0,0,47,1,1,0,0,5,5,0,3,4,4,3,3,5,5,5,2,3
"Algeria","ALG",2010,1,37062820,1.1107678729,1.89741114848854,100,11,1,0,5,67.526,7.27523117652974,39.9622118703729,95.39151,88.4448754843803,0,0.2055937747,0,0,2,0,0,48,1,1,0,0,5,6,0,1,2,4,4,3,3,4,2,1,3
"Algeria","ALG",2011,0,37762962,1.1006802721,1.67332550678364,104.521764662703,12,1,0,4,68.209,15.2145776397116,40.7388482931798,97.60729,94.3144396353231,0,0.1946013469,4,0,6,1,0,49,1,1,1,0,5,7,0,1,4,5,2,5,5,4,4,2,5
"Angola","ANG",1990,0,10333844,3.4748888889,-0.547722557505267,2.22108088069681e-08,11,1,1,3,25.582,5.00154757535425,41.2150407524033,11.35899,0,0,0.1880019352,0,0,5,0,1,15,0,0,0,0,7,15,0,5,5,2,5,4,3,1,4,5,2
"Angola","ANG",1991,0,10652727,3.5280594997,-1.09544511501018,4.07808958703272e-08,12,1,1,1,26.221,6.23633464925601,42.6431165416142,12.03842,0,0,0.1874413366,0,0,2,0,1,16,1,0,1,0,4,0,0,4,1,4,3,1,3,5,4,1,5
"Angola","ANG",1993,0,11372156,3.8498527969,-4.96990945591568,2.407605402157e-06,14,1,1,2,27.53,5.65376517692595,37.2339248097145,-29.6869384831946,0.00967274806993502,0,0.1878297573,0,0,1,0,1,18,1,1,0,0,7,0,0,5,4,2,5,1,4,3,5,5,2
"Angola","ANG",1994,0,11743432,3.933416771,1.87082869338693,2.52512348402452e-05,15,1,1,2,28.2,4.9424864592518,26.3752512910946,10.3407815805194,0.0155320863611251,1,0.1884526952,0,0,0,0,1,19,1,1,0,0,7,0,0,4,1,3,3,5,3,1,4,3,3
"Angola","ANG",1995,0,12104952,3.6589348192,3.22490309931936,0.000699911725453789,16,1,1,1,28.88,4.00777282777747,26.4308789842037,22.6970656607312,0.0164725973304149,1,0.1894258571,0,0,0,0,1,20,1,1,0,0,6,0,0,4,5,1,3,4,1,1,2,5,4
"Angola","ANG",1996,0,12451945,3.3724238798,3.34664010613635,0.0297120061821803,17,1,1,0,29.57,3.44574999431473,25.1524548978866,31.0429202604593,0.0264858220944599,1,0.1895928692,0,0,0,0,1,21,1,1,0,0,6,0,0,2,2,5,3,4,3,1,4,4,4
"Angola","ANG",1997,0,12791388,3.2761301468,2.81069386451101,0.0948338071269945,18,1,1,0,30.268,4.37839118384962,30.2402406688035,36.3460855588745,0.0551308427201176,1,0.1901188243,0,0,0,0,1,22,1,1,0,0,6,0,0,2,1,4,5,3,5,4,1,5,1
"Angola","ANG",1998,0,13137542,3.0443349754,2.60859389596627,0.196576087851681,19,1,1,1,30.975,6.31879590672748,31.2853014735971,12.99396,0.0747476202169325,1,0.1909727508,0,0,0,0,1,23,1,1,0,0,6,1,0,1,3,4,4,1,3,2,4,4,2
"Angola","ANG",1999,0,13510616,3.2341470904,1.79994435228858,0.684469883023073,20,1,1,2,31.692,3.22287577892959,20.9923708578417,12.97514,0.177638088448373,1,0.1918294849,0,0,0,0,1,24,1,1,0,0,6,2,0,4,1,5,5,3,5,4,4,3,3
"Angola","ANG",2000,0,13924930,3.3729444617,1.73553339781932,2.90897558990128,21,1,1,1,32.419,2.89016332100962,22.2123554945612,14.85831,0.18532229605463,1,0.1927330174,0,0,2,0,1,25,1,1,0,0,6,3,0,3,5,1,5,2,5,2,4,1,5
"Angola","ANG",2001,0,14385283,3.6063377981,2.05449875841747,7.34693849323699,22,1,1,1,33.152,3.87310081436431,26.9598114360045,16.78454,0.521366176807227,1,0.1926605505,0,0,1,0,1,26,1,1,0,0,6,4,0,3,4,5,3,1,3,4,3,5,2
"Angola","ANG",2002,0,14886574,3.8040747029,3.71776714211287,15.3475661434394,23,1,1,2,33.895,4.23376832632813,31.9373309692855,18.11489,0.940444725562779,1,0.1928139691,0,0,1,0,1,27,1,1,0,0,5,5,0,5,5,4,5,1,2,4,2,2,4
"Angola","ANG",2003,0,15421075,3.7022630835,2.2907574337754,30.4225161866313,24,0,1,3,34.645,4.30273710192559,30.0298978207026,17.147132487202,2.26962128126606,1,0.1929961089,0,0,0,0,0,28,1,1,0,0,5,6,0,2,2,1,1,2,3,1,1,2,1
"Angola","ANG",2004,0,15976715,3.568877551,3.29840340973805,43.6690721373618,25,0,1,3,35.405,4.12802101753115,26.7689131231747,19.5340581817315,4.63174063003565,1,0.1934574168,0,0,0,0,0,29,1,1,0,0,5,7,0,3,1,4,5,5,3,4,3,5,1
"Angola","ANG",2005,0,16544376,3.5999251497,4.27335330799457,53.6971262620668,26,0,1,3,36.169,4.07487230936173,24.4186566871163,9.40264280281245,9.73816117331956,1,0.1941294196,0,0,1,0,0,30,1,1,0,0,5,8,0,1,5,5,1,4,1,2,3,5,1
"Angola","ANG",2006,0,17122409,3.7911646586,4.55357220246933,60.8405910165032,27,0,1,4,36.942,4.84794061402373,24.8170635976751,10.7637776483428,17.8398962435718,1,0.1940623163,0,0,0,0,0,31,1,1,0,0,5,9,0,5,4,2,5,2,2,2,3,2,4
"Angola","ANG",2007,0,17712824,3.7652085453,4.75322060435558,68.2927575963651,28,0,1,2,37.722,5.2028270454596,25.5705825474069,51.2046478734073,28.0109823255738,1,0.1945791726,0,0,1,0,0,32,1,1,1,0,5,10,0,5,3,5,5,1,1,5,1,2,1
"Angola","ANG",2008,0,18314441,3.7424680149,3.71713585482839,76.8114004572421,29,0,1,3,38.509,4.79938341038682,25.8705354138805,25.51295,36.9836895376714,1,0.1954207784,0,0,0,0,0,33,1,1,0,0,5,11,0,2,1,5,2,5,2,5,1,5,2
"Angola","ANG",2009,0,18926650,3.7942808365,1.55335495457203,87.358720378298,30,0,1,2,39.299,6.07458287220509,30.750815664942,27.12847,42.8465734823648,1,0.1964969011,0,0,1,0,0,34,1,1,0,0,5,12,0,1,4,1,4,2,1,4,1,2,1
"Angola","ANG",2010,0,19549124,3.845984113,1.84598039752111,100,31,0,1,4,40.097,6.12461404355696,30.2277062204377,31.31399,48.1012090362719,1,0.1976731999,0,0,0,0,0,35,1,1,0,0,5,13,0,4,4,5,5,1,3,4,4,4,3
"Angola","ANG",2011,0,20180490,3.8675736961,1.97953702426772,113.467015350446,32,0,1,4,40.9,5.97467452676546,28.5869396640786,31.51639,53.0081777003433,1,0.2012484523,1,0,5,0,0,36,1,1,1,0,5,14,0,2,4,3,5,2,1,1,5,3,5
"Armenia","ARM",1993,0,3369673,0.7252208047,-2.96647919129578,0.462030295706842,2,0,0,7,66.606,22.855080598289,21.6850317897331,93.37306,0,0,0.1477744807,3,0,0,0,0,2,1,1,0,1,4,2,0,2,3,2,1,2,4,2,2,4,1
"Armenia","ARM",1994,0,3289943,0.6420525657,2.32379060806627,16.0485028362837,3,0,0,7,66.332,30.0753327639766,18.1506094663615,95.05888,0,0,0.1473716196,0,0,0,0,0,3,1,1,1,1,4,3,0,3,2,3,4,1,2,5,3,3,2
"Armenia","ARM",1995,0,3223173,0.654399378,2.62678480412842,44.2860563051802,4,0,0,5,66.057,25.1990878864624,25.7580270096111,52.3757007686657,0,0,0.1483090289,0,0,0,0,0,4,1,1,1,1,4,0,1,1,2,3,4,5,5,3,2,4,4
"Armenia","ARM",1996,0,3173425,0.7443159154,2.42185894473773,52.5592166962017,5,0,0,5,65.781,24.7944761879386,30.5882105190721,91.43074,0.00945350843331732,0,0.1522698613,3,0,1,0,0,5,1,1,0,0,4,0,1,1,3,3,4,5,5,2,2,1,1
"Armenia","ARM",1997,0,3137652,0.7693636625,1.822382971777,59.8968849634196,6,0,0,5,65.504,24.4119236663746,34.8314939080495,91.31016,0.159354829662435,0,0.156937799,0,0,0,0,0,6,1,1,1,0,4,1,1,3,4,5,5,3,1,5,2,2,1
"Armenia","ARM",1998,0,3112958,0.7544409613,2.70185121722126,65.0914341202852,0,0,0,4,65.226,21.9191760741887,35.2491591629504,93.19355,0.25156137667132,0,0.16243165,0,0,0,0,0,7,1,1,1,1,4,0,1,5,4,3,2,4,3,5,5,1,4
"Armenia","ARM",1999,0,3093820,0.8383233533,1.8165902124585,65.5133865823993,1,0,0,6,64.947,23.1229264208018,38.3392050062646,92.60464,0.26378393054541,0,0.1682303462,0,0,1,0,0,8,1,1,0,1,4,1,2,2,1,1,1,4,2,3,1,5,4
"Armenia","ARM",2000,0,3076098,0.8591374496,2.42899156029818,64.9952518414397,2,0,0,4,64.666,18.5301252286838,35.4695904905082,90.74996,0.568447429178134,0,0.1742522757,0,0,1,0,0,9,1,1,0,1,4,2,1,2,3,5,3,3,1,1,2,1,1
"Armenia","ARM",2001,0,3059960,0.8833714472,3.09138181005428,67.0399404893516,3,0,0,6,64.385,17.355271067111,35.2649290141341,87.13641,0.833474947384933,0,0.1797129811,0,0,0,0,0,10,1,1,0,1,4,3,1,3,2,4,3,4,4,1,4,4,1
"Armenia","ARM",2002,0,3047002,0.8842105263,3.63129460827223,67.7505969048158,4,0,0,6,64.283,16.7383120975734,35.0624883593104,61.4554403449628,2.3416131659907,0,0.1849068932,1,0,0,0,0,11,1,1,1,1,4,4,1,3,3,2,3,3,1,2,3,3,1
"Armenia","ARM",2003,0,3036032,0.8871994342,3.74710488990699,70.9494774934964,5,0,0,6,64.25,16.8402284076303,34.3306125698946,92.5538245842686,3.76738453349635,1,0.1891538713,0,0,1,0,0,12,1,1,0,1,4,5,1,5,4,1,2,5,1,4,1,2,5
"Armenia","ARM",2004,0,3025652,0.8819241983,3.23540443592403,75.8884560544918,6,0,0,4,64.217,14.8052956962028,34.2171526050864,88.32784,6.71951037330136,1,0.1932745674,0,0,0,0,0,13,1,1,0,1,4,6,0,3,3,2,4,1,4,4,3,2,2
"Armenia","ARM",2005,0,3014917,0.871257485,3.7236690577286,76.3759204433311,7,0,0,5,64.184,14.8194216566208,33.8093048791701,91.06529,10.5490134554285,1,0.1960208741,0,0,0,0,0,14,1,1,0,1,4,7,0,3,5,5,2,5,5,2,4,2,2
"Armenia","ARM",2006,1,3002911,0.9024096386,3.63290565720346,78.5849844378653,8,0,0,5,64.15,11.8538304877795,34.8913486840955,93.88583,41.9513598638122,1,0.1960912052,0,0,1,0,0,15,1,1,1,1,4,8,0,2,2,4,1,1,1,2,5,2,1
"Armenia","ARM",2007,0,2989882,0.8826042726,3.70799163407685,82.0485083124573,9,0,0,3,64.117,10.4139684465236,35.8091315021555,94.85475,62.7586975004365,1,0.1958360442,0,0,2,1,0,16,1,1,1,1,4,9,0,2,1,4,5,3,2,1,5,5,2
"Armenia","ARM",2008,0,2977488,0.8642179117,2.62678510731275,89.3918115336927,0,0,0,3,63.997,9.97513614920878,38.0543476360467,92.67271,48.4300860322527,1,0.1935693407,0,0,0,1,0,17,1,1,0,1,4,10,0,3,3,2,4,1,5,2,2,2,2
"Armenia","ARM",2009,0,2968154,0.8625693555,-3.7616470646004,92.4371821149321,1,0,0,3,63.789,9.72239443058056,45.2804497217273,96.59027,73.8337700806629,1,0.1899513776,0,0,2,1,0,18,1,1,0,1,4,11,0,1,2,1,5,4,3,1,4,5,5
"Armenia","ARM",2010,0,2963496,0.8605472198,1.48323969741912,100,2,0,0,3,63.58,10.9117283017177,43.9592238189258,99.50405,130.43223274133,1,0.1849935317,0,0,1,0,0,19,1,1,0,1,4,12,0,3,3,4,4,4,2,3,1,2,3
"Armenia","ARM",2011,0,2964120,0.8548752834,2.16794833886785,107.651233637976,3,0,0,4,63.371,11.8632283639237,44.085369306795,96.42419,108.336200963524,1,0.1704299412,1,0,0,0,0,20,1,1,1,1,4,13,0,1,2,2,2,4,3,4,5,5,3
"Australia","AUL",1982,0,15178000,0.1682869047,1.82306033684237,33.4146584257936,7,0,0,8,85.64,16.4227367539075,56.0709819043643,71.0927606362414,0,1,0.1733951026,1,0,0,0,0,81,0,0,1,1,1,81,0,1,3,5,5,2,3,5,5,5,2
"Australia","AUL",1983,0,15369000,0.1632236674,-1.49452168664184,36.7940710628285,0,0,0,7,85.58,30.021944595326,58.8500393191845,87.9740167742664,0,1,0.1716559056,2,1,1,0,0,82,0,0,1,1,1,82,0,5,3,5,2,5,4,1,3,5,2
